title,full_name
Performance Evaluation of Slant Transform based Gray Image Watermarking against Jpeg Compression and Print & Scan Attacks,Shashidhar Ram Joshi
Off-line Nepali handwritten character recognition using Multilayer Perceptron and Radial Basis Function neural networks,Shashidhar Ram Joshi
Scalability of efficient and dynamic workload distribution in autonomic cloud computing,Shashidhar Ram Joshi
Case-based reasoning in Neurological Domain,Shashidhar Ram Joshi
Design and Implementation of Synthesizable 32-bit Four Stage Pipelined RISC Processor in FPGA Using Verilog/VHDL,Shashidhar Ram Joshi
Study and comparison of edge detection algorithms,Shashidhar Ram Joshi
Single sign-on with one time password,Shashidhar Ram Joshi
IPv6 only Network Migration - Final Presentation - MSc Thesis,Shashidhar Ram Joshi
MScThesis - IPv6 Network Migration Prospects and Problems,Shashidhar Ram Joshi
Improvement in the particle tracking velocimetry,Shashidhar Ram Joshi
IPv6-only Network for Today's Internet: Prospects and Problems,Shashidhar Ram Joshi
Improvement of Algorithm in the Particle Tracking Velocimetry Using Self-Organizing Maps,Shashidhar Ram Joshi
Design and analysis of gallium arsenide current mirror [microform] /,Shashidhar Ram Joshi
Performance modelling and evaluation of V2I video surveillance system,Shashidhar Ram Joshi
Energy efficient routing in wireless sensor networks,Surendra Shrestha
Comparative analysis of multiple deep CNN models for waste classification,Surendra Shrestha
Arsenic removal from water by adsorption onto iron oxide/nano-porous carbon magnetic composite,Surendra Shrestha
Auto-colorization of historical images using deep convolutional neural networks,Surendra Shrestha
"Spectral Analysis of Rectangular, Hanning, Hamming and Kaiser Window for Digital Fir Filter",Surendra Shrestha
A 5G framework and its analysis of interference cancellation in multi-tier heterogeneous networks,Surendra Shrestha
Hadamard Coded Modulation for Visible Light Communication,Surendra Shrestha
A Brief Overview of Wireless Power Transfer Techniques,Surendra Shrestha
A Brief Overview of Wireless Power Transfer Techniques,Surendra Shrestha
Miniaturized multi-spurline bandstop filter design with a meandered slot lines,Surendra Shrestha
The Improved Energy Efficient LEACH Protocol Technology of Wireless Sensor Networks,Surendra Shrestha
Network Bandwidth Utilization Prediction Based on Observed SNMP Data,Surendra Shrestha
Suspended graphene applications in NEMS and MEMS,Surendra Shrestha
Telecommunications infrastructures and services development and challenges in Nepal,Surendra Shrestha
Activated Carbon from Various Agricultural Wastes by H3PO4 Activation: Preparation and Characterization,Surendra Shrestha
Assessment of health service delivery to address cardiovascular diseases in Nepal,Surendra Shrestha
Performance of ID3 Derived Fuzzy Rule Based Multicriteria Vertical Handover Decision Algorithm,Surendra Shrestha
Comparison of fuzzy rule based vertical handover with TOPSIS and received signal strength based vertical handover algorithms,Surendra Shrestha
Fake News Stance Detection using Deep Neural Network,Surendra Shrestha
"Mothers’ Perception of Their Children’s Play in Dhulikhel Hospital, Nepal",Surendra Shrestha
Handling Of Sensitive Data With The Use Of 3G In Vehicular Ad-Hoc Networks,Surendra Shrestha
Analysis of Throughput Gain in Multi-tier Heterogeneous Networks,Surendra Shrestha
Comparison of algorithms in foreign exchange rate prediction,Surendra Shrestha
LSTM Encoder Decoder Model for Fake News Detection,Surendra Shrestha
Mobile Broadband Service Estimation in Nepal,Surendra Shrestha
Fabrication of sub-wavelength-size aperture for near-field optical probe,Surendra Shrestha
"PREDICTION OF SOLAR FLUX USING METEOROLOGICAL PARAMETERS AT WESTERN PART OF TERAI, NEPAL",Surendra Shrestha
Mobile Location Estimation Based on Received Signal Strength using Circular Approach,Surendra Shrestha
DETECTION AND MITIGATION FROM BLACK-HOLE ATTACK IN AODV PROTOCOL,Surendra Shrestha
Performance Analysis of Carbon Based Antennas,Surendra Shrestha
Comparison Using Simulation of Carbon allotropes Based Nanostrip Antenna,Surendra Shrestha
Characterization of DNA and Protein in mica surface using Atomic Force Microscopy,Surendra Shrestha
Impact on Memory utilization with Deadline I/O Scheduler customization,Surendra Shrestha
Detection and Prevention from Blackhole attack in MANET,Surendra Shrestha
Novel Approach: Testing and Computing Periodicity of Continuous Time Signal,Surendra Shrestha
Performance Analysis of Carbon Based Nano Antenna,Surendra Shrestha
Location Estimation of a GSM Mobile based on Received Signal Strength,Surendra Shrestha
"Graphene as an Electrode for Solar Cell,",Surendra Shrestha
Esthetic Rehabilitation of Familial Hypodontia: A Case Report,Surendra Shrestha
Efficient Vertical Handover Decision Algorithm using Multi-criteria Metrics,Surendra Shrestha
Design of Diplexer Using Waveguide Technology,Surendra Shrestha
An Energy Efficient Routing in Wireless Sensor Networks,Surendra Shrestha
"SPECTRAL ANALYSIS OF RECTANGULAR, HANNING, HAMMING AND KAISER WINDOW FOR DIGITAL FIR FILTER",Surendra Shrestha
Analysis of Graphene as an Electrode for Schottky Junction Solar Cells,Surendra Shrestha
Flexible graphene device for ligthing LEDs,Surendra Shrestha
Methodology to assess EU Biofuel Policies: The CAPRI Approach,Surendra Shrestha
A study on Fabrication of Low Noise Nearfield Optical Probe,Surendra Shrestha
Characterization of CD-ROM memory,Surendra Shrestha
HANDLING OF SENSITIVE DATA WITH THE USE OF 3G IN VEHICULAR AD-HOC NETWORKS,Surendra Shrestha
Characterization of microfabriacted multilayered nearfield cantilever array,Surendra Shrestha
Study on RF Safety Exposures around Base Stations over Kathmandu Valley,Surendra Shrestha
Infectious complications of venomous snakebite: 2 cases from Eastern Nepal,Surendra Shrestha
Examination of the optical transmission through metallic nano‐apertures,Surendra Shrestha
CD Characterization & Micro/Nano-technology Application,Surendra Shrestha
ARSENIC TOXICITY IN GROUNDWATER OF TERAI BASIN OF NEPAL: A SIGNIFICANT ENVIRONMENTAL PROBLEM,Surendra Shrestha
A Case of Acute Flaccid Paralysis: An Uncommon Presentation of a Common Disease,Surendra Shrestha
The effect of scattering centers on light transmission through a nano-aperture,Surendra Shrestha
Fabrication of high performance nearfield optical pyramidal probe with periodic metalling grating,Surendra Shrestha
Fabrication of High throughput nearfield optical probe using various metallic coating techniques,Surendra Shrestha
A Case of Acute Flaccid Paralysis: An Uncommon Presentation of a Common Disease,Surendra Shrestha
Study of adhesion force dependent upon the sample preparation,Surendra Shrestha
Fabrication of a Low-Noise NSOM Cantilever Using a SOI Wafer,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
Designing of Banking System Network,Surendra Shrestha
Measurement of Long Range Attractive Force on Hydrophobic Surface using Atomic Force Microscopy,Surendra Shrestha
Esthetic Rehabilitation of Familial Hypodontia: A Case Report. BJHS 2016; 1 (1) 1: 72-75,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
MICTURATING CYSTOURETHROGRAPHY AS A PART OF URINARY TRACT INFECTION WORK UP IN CHILDREN.,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
Characterization of microfabricated nearfield cantilever array,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
Graphene as an electrode for solar cells,Surendra Shrestha
STUDY OF ADHESION FORCE DEPENDENT UPON THE SAMPLE PREPARATION,Surendra Shrestha
3D graphene supercapacitor for energy applications,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
International Journal of Advanced Engineering,Surendra Shrestha
Analysis and optimization of wireless power transfer link,Dibakar Raj Pant
Evaluating Color Difference Formulae by Riemannian Metric.,Dibakar Raj Pant
Geodesic calculation of color difference formulas and comparison with the Munsell color order system,Dibakar Raj Pant
Determination of optical characteristics of materials for computer colorant analysis,Dibakar Raj Pant
Recurrent neural network based bitcoin price prediction by twitter sentiment analysis,Dibakar Raj Pant
Dynamic convolutional neural network for image super-resolution,Dibakar Raj Pant
Riemannian formulation of the CIEDE2000 color difference formula,Dibakar Raj Pant
Identifying Dementia in MRI Scans Using Artiﬁcial Neural Network and K-Nearest Neighbor,Dibakar Raj Pant
Multi-armed bandit learning approach with entropy measures for effective heterogeneous networks handover scheme,Dibakar Raj Pant
Analysis of three Euclidean color-difference formulas for predicting the average RIT-DuPont color-difference ellipsoids,Dibakar Raj Pant
Riemannian formulation and comparison of color difference formulas,Dibakar Raj Pant
3D object tracking using disparity map,Dibakar Raj Pant
"Revisiting the Optical Society of America Uniform Color Scales system: past, present and future challenges",Dibakar Raj Pant
Automated Testing and Resilience of Microservice’s Network-link using Istio Service Mesh,Dibakar Raj Pant
An Approach for Image Copyright Protection by using Walsh Hadamard Method,Dibakar Raj Pant
Image Quality Assessment by Integration of Low-level & High-Level Features: Threshold Similarity Index,Dibakar Raj Pant
Image annotation using ZYNQ SoC,Dibakar Raj Pant
CIE uniform chromaticity scale diagram for measuring performance of OSA-UCS ΔEE and CIEDE00 formulas,Dibakar Raj Pant
"Meta-Learning, Fast Adaptation, and Latent Representation for Head Pose Estimation",Dibakar Raj Pant
A Novel Approach for the Scene Text Recognition by Attentional Encoder Decoder Model,Dibakar Raj Pant
Head Pose Estimation by Few Shot Learning Techniques,Dibakar Raj Pant
An Approach to Detect Image Forgery by Discrete Wavelet Decomposition,Dibakar Raj Pant
"Analysis of Micro Facial Expression by Machine and Deep Learning Methods: Haar, CNN, and RNN",Dibakar Raj Pant
Computer Vision Based Hand Gesture Recognition For Speech Disabled Persons,Dibakar Raj Pant
Line element and variational methods for color difference metrics,Dibakar Raj Pant
CIE UNIFORM CHROMATICITY SCALE DIAGRAM FOR MEASURING PERFORMANCE OF OSA-UCS∆ EE AND CIEDE00 FORMULAS,Dibakar Raj Pant
An Approach to Extract Features of Mammography Images for Early Detection of Breast Cancer,Dibakar Raj Pant
"Stochastic Gradient Descent and Discriminative Fine Tuning on ResNet, DenseNet, Inception-ResNet and MobileNet for the Multi Class Pathogenic Microbes Classification",Dibakar Raj Pant
Particle tracking velocimetry with an ant colony optimization algorithm,Sanjeeb Prasad Panday
Off-line Nepali handwritten character recognition using Multilayer Perceptron and Radial Basis Function neural networks,Sanjeeb Prasad Panday
Disaster assessment from satellite imagery by analysing topographical features using deep learning,Sanjeeb Prasad Panday
Particle tracking velocimetry using the genetic algorithm,Sanjeeb Prasad Panday
Fish Counting from Underwater Video Sequences by Using Color and Texture,Sanjeeb Prasad Panday
A SOM based stereo pair matching algorithm for 3-D particle tracking velocimetry,Sanjeeb Prasad Panday
An ant colony optimization based stereoscopic particle pairing algorithm for three-dimensional particle tracking velocimetry,Sanjeeb Prasad Panday
Stereoscopic correspondence of particles for 3-dimensional particle tracking velocimetry by using genetic algorithm,Sanjeeb Prasad Panday
Image Steganography Approach Based Ant Colony Optimization with Triangular Chaotic Map,Sanjeeb Prasad Panday
Applicability of Ant Colony Optimization in particle tracking velocimetry,Sanjeeb Prasad Panday
Signature verification using convolutional neural network and autoencoder,Sanjeeb Prasad Panday
Visual cryptography using image pixel transparency with cover image,Sanjeeb Prasad Panday
Model based gait recognition using weighted KNN,Sanjeeb Prasad Panday
Canonical Huffman coding for image compression,Sanjeeb Prasad Panday
Solving Minimum Steiner tree based on behavior of ants,Sanjeeb Prasad Panday
Faster Line of Sight Computation and Faster Viewshed Generation,Sanjeeb Prasad Panday
Casualty Information Extraction and Analysis from News.,Sanjeeb Prasad Panday
Particles depth detection using in-line digital holography configuration,Sanjeeb Prasad Panday
Face recognition based on shallow convolutional neural network classifier,Sanjeeb Prasad Panday
Monocular depth estimation using a multi-grid attention-based model,Sanjeeb Prasad Panday
"Content Based Image Retrieval Using Convolutional Neural Network, Principal Component Analysis and K-means Clustering",Sanjeeb Prasad Panday
Search Disaster Victims using Sound Source Localization,Sanjeeb Prasad Panday
Automatic Pose Estimation of Micro Unmanned Aerial Vehicle for Autonomous Landing,Sanjeeb Prasad Panday
Two Dimensional (2D) Convolutional Neural Network for Nepali Sign Language Recognition,Sanjeeb Prasad Panday
Digital Holography Based Particle Tracking Velocimetry,Sanjeeb Prasad Panday
Fractal Image Compression Using Canonical Huffman Coding,Sanjeeb Prasad Panday
RETIENAS: Real Time Intranet Based Entrance Examination System at Institute of Engineering,Sanjeeb Prasad Panday
Character component segmentation and categorization of machine printed text in Devanagari (Nepali) script in digital image processing,Sanjeeb Prasad Panday
A Novel Approach to Traffic Sign Localization and Recognition Based on Single Shot Multibox Detector,Sanjeeb Prasad Panday
Detecting clickbaits on nepali news using SVM and RF,Sanjeeb Prasad Panday
Particles Depth Measurements Using In-Line Digital Holography Configuration,Sanjeeb Prasad Panday
Particle tracking velocimetry with an improved ant colony optimization algorithm,Sanjeeb Prasad Panday
Burrows-Wheeler Post-Transformation with Effective Clustering and Integer Coding Through Vectorization,Sanjeeb Prasad Panday
Generation of Nepalese Handwritten Characters Using Generative Adversarial Network,Sanjeeb Prasad Panday
A Novel Deep Learning Based Nepali Speech Recognition,Sanjeeb Prasad Panday
3D PIV Experiments on the Wake of Two Tandem Circular Cylinders in a Cross Flow,Sanjeeb Prasad Panday
Rapid Earthquake Assessment from Satellite Imagery Using RPN and Yolo v3,Sanjeeb Prasad Panday
"Hierarchical Multi Label Classification of News Articles Using RNN, CNN and HAN",Sanjeeb Prasad Panday
Analysis of MRI Images for Brain Tumor Detection Using Fuzzy C-Means and LSTM,Sanjeeb Prasad Panday
Efficient Energy Three Tier Routing Protocol for Wireless Sensor Network,Sanjeeb Prasad Panday
Disaster Related Tweets Categorization using Multimodal Approach,Sanjeeb Prasad Panday
Incremental Spatiotemporal Learner Model for Anomaly Detection and Localization for Video Surveillance,Sanjeeb Prasad Panday
Comparative study of camera calibration models for 3D particle tracking velocimetry,Sanjeeb Prasad Panday
Suppression of Acoustic Feedback in Hearing Aids using Dual Adaptive Filtering,Sanjeeb Prasad Panday
Digital In-Line Holography for Particles Depth Detection,Sanjeeb Prasad Panday
Particle Tracking Velocimetry using Digital In-Line Holograohy,Sanjeeb Prasad Panday
Camera calibration models for 3D particle tracking velocimetry,Sanjeeb Prasad Panday
A Novel Technique for the Determination of Particles Depth and Size in Digital In-Line Holography,Sanjeeb Prasad Panday
"2019 Artificial Intelligence for Transforming Business and Society November 5, 2019-Hyatt Regency Hotel, Kathmandu, Nepal. _",Sanjeeb Prasad Panday
蟻コロニー最適化法による PTV の新アルゴリズム,Sanjeeb Prasad Panday
International Journal of Advanced Social Sciences,Sanjeeb Prasad Panday
An improved ant colony optimization based particle matching algorithm for time-differential pairing in particle tracking velocimetry,Sanjeeb Prasad Panday
A HYBRID PIV-PTV ALGORITHM BY USING ANT COLONY OPTIMIZATION,Sanjeeb Prasad Panday
Wireless Detections in MIMO System,Sanjeeb Prasad Panday
粒子群最適化法による PTV のアルゴリズム,Sanjeeb Prasad Panday
Detectable rain range of spaceborne Ka-band radar estimated from TRMM precipitation radar data,Nanda Bikram Adhikari
An assessment on the performance of a dual-wavelength (13.6/35.0 GHz) radar to observe rain and snow from space,Nanda Bikram Adhikari
Effect of raindrop size distribution variability in dual-frequency radar rain retrieval algorithms assessed from disdrometer measurements,Nanda Bikram Adhikari
A 5G framework and its analysis of interference cancellation in multi-tier heterogeneous networks,Nanda Bikram Adhikari
Real-Time Fine-Scale Measurement of Water Quality Parameters Along the Bagmati River in the Kathmandu Valley.,Nanda Bikram Adhikari
Rain retrieval performance of a dual-frequency precipitation radar technique with differential-attenuation constraint,Nanda Bikram Adhikari
Simulation-based analysis of rainrate estimation errors in dual-wavelength precipitation radar from space,Nanda Bikram Adhikari
Detection of Leak Holes in Underground Drinking Water Pipelines using Acoustic and Proximity Sensing Systems,Nanda Bikram Adhikari
Blockchain Interfaced Sacure E-Voting System,Nanda Bikram Adhikari
Performance analysis of throughput maximization techniques in cognitive radio using cooperative spectrum sensing,Nanda Bikram Adhikari
Flow Monitoring and Leak Detection: An Integrated ICT Approach for Drinking Water Supply,Nanda Bikram Adhikari
Performance of the future spaceborne dual-wavelength radar for rain and snow observation,Nanda Bikram Adhikari
Performance Analysis of Shard Selection Techniques on Elasticsearch,Nanda Bikram Adhikari
Analysis of Throughput Gain in Multi-tier Heterogeneous Networks,Nanda Bikram Adhikari
Simulation of CubeSat Detumbling Using B-Dot Controller,Nanda Bikram Adhikari
GSM Broadband Coverage Analysis Under Rainy Environments,Nanda Bikram Adhikari
Near Real-Time Mobile Profiling and Modeling of Fine-Scale Environmental Proxies Along Major Road Lines of Nepal,Nanda Bikram Adhikari
A System of Vehicular Motion Sensing and Data Acquisition over Thapathali–Kupondole Bridge and Impact Prediction and Analysis Using Machine Learning,Nanda Bikram Adhikari
Optimization of QoS key parameters in LTE network by using central composite design (CCD),Nanda Bikram Adhikari
Performance Analysis of Tri-channel Active Electrode EEG Device Designed for Classification of Motor Imagery Brainwaves for Brain ComputerInterface,Nanda Bikram Adhikari
A Multi-connectivity Framework and Simulation Analysis of Ultra-Reliable Low Latency Communication (URLLC) in 5G Network,Nanda Bikram Adhikari
LETTER OF APPROVAL,Nanda Bikram Adhikari
Prototyping of a Voice Command Based Object Recognizing Robot Using Speech and Image Feature Extraction,Nanda Bikram Adhikari
Electromagnetic Radiation Compatibility Survey and Safety Analysis around Mobile Base Transceiver Stations: Case Studies around Kathmandu Valley,Nanda Bikram Adhikari
Dynamic Spectrum C0-Access (DSCA) With Dirty Paper (DPC) For Cognitive Radio Networks,Nanda Bikram Adhikari
Study on Discovering Seepage in Buried Water Distribution Conduits via Microwave Technology,Nanda Bikram Adhikari
Study on RF Safety Exposures around Base Stations over Kathmandu Valley,Nanda Bikram Adhikari
2007 Index IEEE Transactions on Geoscience and Remote Sensing Vol. 45,Nanda Bikram Adhikari
"P122 On the Combined Use of Co-Located K-Band Micro Rain Radar, W-Band Cloud Profiling Radar and Disdrometers for Raindrop Size Distribution Retrieval",Nanda Bikram Adhikari
An assessment on the performance of GPM dual-frequency precipitation radar rain profiling methods through numerical simulation,Nanda Bikram Adhikari
On the performance of rain profiling from GPM dual-frequency precipitation radar measurements: An assessment with numerical simulation,Nanda Bikram Adhikari
Microwave Sensing of Precipitation and Probing Atmospheric Pollutants for Environmental Studies,Nanda Bikram Adhikari
Rain Retrieval Performance of a Dual-Frequency Radar Technique with Differential Attenuation Constraint,Nanda Bikram Adhikari
Study on precipitation system observation from space using a next-generation precipitation radar,Nanda Bikram Adhikari
P162 Implication of Observed Vertical Profile of Drop Size Spectra in the Study of Dual-Frequency Radar Rain Retrievals,Nanda Bikram Adhikari
Cloud RAN (C-RAN) Accessed Multi-connectivity for 5G Targeted Ultra Reliable Communication (URC),Nanda Bikram Adhikari
A SIMULATION STUDY OF DUAL-WAVELENGTH RADAR USING TRMM PR DATA,Nanda Bikram Adhikari
P361 Effect of Raindrop Size Distribution Variability in Dual-Frequency Radar Rain Retrievals,Nanda Bikram Adhikari
International Journal of Advanced Social Sciences,Nanda Bikram Adhikari
Performance Analysis of Throughput Maximization Techniques in Cognitive Radio Network Using Energy Detection Based Cooperative Spectrum Sensing,Nanda Bikram Adhikari
Design of Tri-channel Active Electrode EEG Device for Classification of Motor Imagery Brainwaves,Nanda Bikram Adhikari
"Moreover, from the analysis of the maximum allowable fluctuation in the standard deviations in Zes for rain and snow (dry and wet), this study proposes “rain/snow …",Nanda Bikram Adhikari
Dynamic Utilization of Sensed Spectrums with Co-operation for Performance Enhancement of Wireless Communication,Nanda Bikram Adhikari
Cognitive Radio network with Dirty Paper Coding for Concurrent access of spectrum by Primary and Secondary users,Nanda Bikram Adhikari
Intelligent clustering scheme for log data streams,Basanta Joshi
Nepali speech recognition using rnn-ctc model,Basanta Joshi
Hmm based isolated word nepali speech recognition,Basanta Joshi
Transfer learning based image visualization using cnn,Basanta Joshi
User behavior analytics for anomaly detection using LSTM autoencoder-insider threat detection,Basanta Joshi
Music classification based on genre and mood,Basanta Joshi
A SOM based stereo pair matching algorithm for 3-D particle tracking velocimetry,Basanta Joshi
Adaptive traffic light control with statistical multiplexing technique and particle swarm optimization in smart cities,Basanta Joshi
Novel algorithms of 3D particle tracking velocimetry using a tomographic reconstruction technique,Basanta Joshi
Deep residual learning for facial emotion recognition,Basanta Joshi
Particles detection scheme for tomographic particle tracking velocimetry,Basanta Joshi
"Nepali speech recognition using CNN, GRU and CTC",Basanta Joshi
"Plant Leaf Disease Recognition Using Random Forest, KNN, SVM and CNN.",Basanta Joshi
Multi-agent based heterogeneous power management system,Basanta Joshi
A hybrid approach for log signature generation,Basanta Joshi
Comparative study of camera calibration models for 3D particle tracking velocimetry,Basanta Joshi
Disease classification of chest X-ray using CNN,Basanta Joshi
Digital Holography Based Particle Tracking Velocimetry,Basanta Joshi
Nepali Text to Speech using Time Domain Pitch Synchronous Overlap Add Method,Basanta Joshi
User Behavior Analytics for Insider Threat Detection using Deep Learning,Basanta Joshi
An Alumni Portal and Tracking System,Basanta Joshi
Automatic Pose Estimation of Micro Unmanned Aerial Vehicle for Autonomous Landing,Basanta Joshi
Information Extraction Using Named Entity Recognition from Log Messages,Basanta Joshi
Particle path based tomographic image velocimetry,Basanta Joshi
3D PIV Experiments on the Wake of Two Tandem Circular Cylinders in a Cross Flow,Basanta Joshi
A Novel Deep Learning Based Nepali Speech Recognition,Basanta Joshi
Generation of Nepalese Handwritten Characters Using Generative Adversarial Network,Basanta Joshi
Drug-target interaction prediction using deep belief network,Basanta Joshi
"Hierarchical Multi Label Classification of News Articles Using RNN, CNN and HAN",Basanta Joshi
Deep Learning Based Voice Conversion Network,Basanta Joshi
Abnormal motion pattern detection in video sequences by an unsupervised approach,Basanta Joshi
Performance Analysis of Shard Selection Techniques on Elasticsearch,Basanta Joshi
Convolutional Neural Networks for the Assessment of Fetal Echocardiography,Basanta Joshi
Nepali Speech Recognition using LSTM-CTC,Basanta Joshi
Anomaly Detection in Distributed Streams,Basanta Joshi
Rapid Earthquake Assessment from Satellite Imagery Using RPN and Yolo v3,Basanta Joshi
Emotion Recognition From Video Using Feature level Fusion.,Basanta Joshi
Coronary Artery Disease Prediction Using Neural Network and Random Forest-Based Feature Selection,Basanta Joshi
STOCK PRICE PREDICTION USING DEEP NEURAL NETWORK,Basanta Joshi
User Behavior Modeling and Anomaly Detection in Cybersecurity Data Using Deep Learning,Basanta Joshi
INTELLIGENT CODE. SMELL. DETECTION SYSTEM USING DEEP LEARNING,Basanta Joshi
Applied Computing and Informatics,Basanta Joshi
Abnormal Motion Pattern Detection in Surveillance Video Sequences by Clustering Approach,Basanta Joshi
Time Series Based Pattern Recognition for Anomaly Detection from System Audit Logs,Basanta Joshi
INTERACTIVE VOICE RESPONSE SYSTEM WITH SPEECH RECOGNITION,Basanta Joshi
Object Detection in Video using Region based Convolution Neural Network,Basanta Joshi
Thyroid Ultrasonography Image Classification Based on Fine-tuned Convolutional Neural Network,Basanta Joshi
A Novel Method for Real Time Pothole Detection System using Smartphones with Accelerometers,Basanta Joshi
Three dimensional volumetric particle tracking velocimetry based on a tomographic reconstruction technique,Basanta Joshi
3 次元画像流体計測法におけるトモグラフィ再構成法の適用,Basanta Joshi
J054013 粒子のストリーク像を利用した 3 次元トモグラフィ PTV ([J054-01] 流れの高次元化可視化に向けて (1)),Basanta Joshi
3D volumetric particle tracking velocimetry based on a tomographic reconstruction technique,Basanta Joshi
蟻コロニー最適化による PTV の最適化アルゴリズム,Basanta Joshi
J055023 トモグラフィによる 3 次元 PTV の新解析手法,Basanta Joshi
粒子群最適化法による PTV のアルゴリズム,Basanta Joshi
Vision Based Motorcycle Monitoring at Intersection of Nepal Roads,Basanta Joshi
Multilayer Backpropagation Neural Networks,Basanta Joshi
Nepali Speech Recognition,Basanta Joshi
Camera calibration models for 3D particle tracking velocimetry,Basanta Joshi
International Journal of Advanced Engineering,Basanta Joshi
Speech Processing,Basanta Joshi
A data streaming algorithm for signature generation and clustering of log messages,Basanta Joshi
Object Detection in Images using Region Based CNN,Basanta Joshi
"2019 Artificial Intelligence for Transforming Business and Society November 5, 2019-Hyatt Regency Hotel, Kathmandu, Nepal. _",Basanta Joshi
SOM BASED PARTICLE MATCHING FOR VOLUMETRIC PARTICLE TRACKING VELOCIMETRY,Basanta Joshi
CAMERA CALIBRATION MODEL FOR PARTICLE TRACKING VELOCIMETRY WITH LENS DISTORTION,Basanta Joshi
Particle Tracking Velocimetry using Digital In-Line Holograohy,Basanta Joshi
ASSESSMENT OF IMPROVED VOLUMETRIC PARTICLE TRACKING VELOCIMETRY,Basanta Joshi
Effect of Camera Calibration Method in the 3D Tomographic PIV,Basanta Joshi
Anomaly Detection from System Logs based on Spectral Method,Basanta Joshi
End to End based Nepali Speech Recognition System,Basanta Joshi
Affordable broadband with software defined ipv6 network for developing rural communities,Daya Sagar Baral
Towards Automation in Admission Process as a Tool to Enhance Quality of Engineering Education at Tribhuvan University,Daya Sagar Baral
The Secrets of Object Oriented Programming in C++,Daya Sagar Baral
An Alumni Portal and Tracking System,Daya Sagar Baral
Performance Analysis of V-BLAST MIMO-OFDM using Transmit and Receive Beamforming,Daya Sagar Baral
VANET Analysis for Real Time Traffic of Nepal Using SUMO and NS3 under different protocol [C],Daya Sagar Baral
RETIENAS: Real Time Intranet Based Entrance Examination System at Institute of Engineering,Daya Sagar Baral
Anomaly Detection in Computer Networks using Multilayer Perceptron,Daya Sagar Baral
Using personality traits information from social media for music recommendation,Daya Sagar Baral
Anomaly Detection in Distributed Streams,Daya Sagar Baral
"Central Campus, Pulchowk",Daya Sagar Baral
Music Recommendation based on Personality Traits,Daya Sagar Baral
Interference Analysis of 5G in Coexistence Scenario with Short Range Devices (SRD),Daya Sagar Baral
Transformations to Future Networking: Status of Nepal and the Steps Ahead (TraFNet),Daya Sagar Baral
Human behavior prediction using facial expression analysis,Suman Sharma
Performance comparison of energy detection based spectrum sensing for cognitive radio networks,Suman Sharma
Fish Counting from Underwater Video Sequences by Using Color and Texture,Suman Sharma
Dictionary based Nepali word recognition using neural network,Suman Sharma
Fish population estimation from underwater video sequences using blob counting and shape analysis,Suman Sharma
"Optical character recognition for nepali, english character and simple sketch using neural network",Suman Sharma
The Fifth Generation Fixed Network (F5G): Full-Fiber Access Embracing the Gigabit Era,Babu R. Dawadi
CoMMoN: The Real-Time Container and Migration Monitoring as a Service in the Cloud,Babu R. Dawadi
IOE-Bulletin-Poush-2079-Vol27-Issue8,Babu R. Dawadi
IPv6-only Network for Today's Internet: Prospects and Problems,Babu R. Dawadi
IOE-Bulletin-Mangshir-2079-Vol27-Issue7,Babu R. Dawadi
IOE-Bulletin-AshwiKartik-2079-Vol27-Issue6,Babu R. Dawadi
Multi-Controller Placement Optimization Using Naked Mole-Rat Algorithm over Software-Defined Networking Environment,Babu R. Dawadi
Service Provider IPv4 to IPv6 Network Migration Strategies,Babu R. Dawadi
Smart Factory and Cyber Security,Babu R. Dawadi
IOE News Bulletin Vol 27 Issue 3,Babu R. Dawadi
Government Roadmap for IPv4 to IPv6 Network Migration: A Case of Nepal,Babu R. Dawadi
An Energy-Efficient Strategy and Secure VM Placement Algorithm in Cloud Computing,Babu R. Dawadi
Service Provider need of Migration to SDN and IPv6 Network : Backbone of 5G and beyond Technologies,Babu R. Dawadi
IOE-Bulletin-Bhadra-2079-Vol27-Issue5,Babu R. Dawadi
IOE-Bulletin-Shrawan-2079-Vol27-Issue4,Babu R. Dawadi
IOE News Bulletin Vol 26 Issue 9,Babu R. Dawadi
IOE News Bulletin Vol 26 Issue 8,Babu R. Dawadi
Energy Efficiency and Greening of ICT Infrastructure in Nepal: Regulator's Roles and Operator's Responsibilities,Babu R. Dawadi
"Context, Issues, and Solutions towards 5G Network Migration of Nepal (CISNetMiN)",Babu R. Dawadi
Guest Editorial - Special Issue Topic: SDN migration challenges and practices in ISP/Telcos Networks.,Babu R. Dawadi
"Computer Resources, Specification, and Troubleshooting",Babu R. Dawadi
Which one ICT Engineering Education will be your choice? Expert's Views for Confused +2 Students,Babu R. Dawadi
Towards Smart Networking with SDN Enabled IPv6 Network,Babu R. Dawadi
IOE News Bulletin Vol 26 Issue 5,Babu R. Dawadi
IOE News Bulletin VOl 25 Issue 7,Babu R. Dawadi
